Document Title,Authors,Author Affiliations,Publication Year,Abstract,DOI,PDF Link,Article Citation Count,Patent Citation Count,Reference Count,Document Identifier
Universal Multimode Background Subtraction,H. Sajid; S. -C. S. Cheung,"National University of Sciences and Technology, Islamabad, Pakistan; University of Kentucky, Lexington, KY, USA",2017,"In this paper, we present a complete change detection system named multimode background subtraction. The universal nature of system allows it to robustly handle multitude of challenges associated with video change detection, such as illumination changes, dynamic background, camera jitter, and moving camera. The system comprises multiple innovative mechanisms in background modeling, model update, pixel classification, and the use of multiple color spaces. The system first creates multiple background models of the scene followed by an initial foreground/background probability estimation for each pixel. Next, the image pixels are merged together to form mega-pixels, which are used to spatially denoise the initial probability estimates to generate binary masks for both RGB and YCbCr color spaces. The masks generated after processing these input images are then combined to separate foreground pixels from the background. Comprehensive evaluation of the proposed approach on publicly available test sequences from the CDnet and the ESI data sets shows superiority in the performance of our system over other state-of-the-art algorithms.",10.1109/TIP.2017.2695882,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7904604,131,,53,IEEE Journals
FOCNet: A Fractional Optimal Control Network for Image Denoising,X. Jia; S. Liu; X. Feng; L. Zhang,"School of Mathematics and Statistics, Xidian University, Xi’an, China; School of Mathematics and Statistics, Xidian University, Xi’an, China; School of Mathematics and Statistics, Xidian University, Xi’an, China; Dept. of Computing, The Hong Kong Polytechnic University, Hong Kong, China",2019,"Deep convolutional neural networks (DCNN) have been successfully used in many low-level vision problems such as image denoising. Recent studies on the mathematical foundation of DCNN has revealed that the forward propagation of DCNN corresponds to a dynamic system, which can be described by an ordinary differential equation (ODE) and solved by the optimal control method. However, most of these methods employ integer-order differential equation, which has local connectivity in time space and cannot describe the long-term memory of the system. Inspired by the fact that the fractional-order differential equation has long-term memory, in this paper we develop an advanced image denoising network, namely FOCNet, by solving a fractional optimal control (FOC) problem. Specifically, the network structure is designed based on the discretization of a fractional-order differential equation, which enjoys long-term memory in both forward and backward passes. Besides, multi-scale feature interactions are introduced into the FOCNet to strengthen the control of the dynamic system. Extensive experiments demonstrate the leading performance of the proposed FOCNet on image denoising. Code will be made available.",10.1109/CVPR.2019.00621,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8954104,130,,47,IEEE Conferences
Hyperspectral Anomaly Detection via Deep Plug-and-Play Denoising CNN Regularization,X. Fu; S. Jia; L. Zhuang; M. Xu; J. Zhou; Q. Li,"College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; Department of Mathematics, Hong Kong Baptist University, Hong Kong; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; School of Information and Communication Technology, Griffith University, Nathan, QLD, Australia; Guangdong Key Laboratory of Urban Informatics, Shenzhen University, Shenzhen, China",2021,"Due to the importance in many military and civilian applications, hyperspectral anomaly detection has attracted remarkable interest. Low-rank representation (LRR)-based anomaly detectors use the low-rank property to represent background pixels, and pixels that cannot be well represented are detected as anomalies. The ability of an LRR-based detector to separate background pixels and anomalous pixels depends on the dictionary representation ability, which usually can be enhanced by designing a proper prior for dictionary representation coefficients and constructing a better dictionary. However, it is not easy to handcraft effective and meaningful regularizers for dictionary coefficients. In this article, we propose a novel anomaly detection algorithm that uses a plug-and-play prior for representation coefficients and constructs a new dictionary based on clustering. Instead of cumbersomely handcrafting a regularizer for representation coefficients, we propose solving the anomaly detection problem using the plug-and-play framework, which enables us to plug state-of-the-art priors for representation coefficients. An effective convolutional neural network (CNN) denoiser is plugged into our framework to fully exploit the spatial correlation of representation coefficients. We also propose a modified background dictionary construction method, which carefully includes background pixels and excludes anomalous pixels from clustering results. We refer to the proposed anomaly detection method as plug-and-play denoising CNN regularized anomaly detection (DeCNN-AD) method. Extensive experiments were performed on five data sets in a comparison with eight state-of-the-art anomaly detection methods. The experimental results suggest that the proposed method is effective in anomaly detection and can produce better anomaly detection results than that of the comparison methods. The codes of this work will be available at https://github.com/FxyPd for the sake of reproducibility.",10.1109/TGRS.2021.3049224,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9329138,130,,56,IEEE Journals
Remote Sensing Image Reconstruction Using Tensor Ring Completion and Total Variation,W. He; N. Yokoya; L. Yuan; Q. Zhao,"RIKEN Center for Advanced Intelligence Project, Tokyo, Japan; RIKEN Center for Advanced Intelligence Project, Tokyo, Japan; RIKEN Center for Advanced Intelligence Project, Tokyo, Japan; RIKEN Center for Advanced Intelligence Project, Tokyo, Japan",2019,"Time-series remote sensing (RS) images are often corrupted by various types of missing information such as dead pixels, clouds, and cloud shadows that significantly influence the subsequent applications. In this paper, we introduce a new low-rank tensor decomposition model, termed tensor ring (TR) decomposition, to the analysis of RS data sets and propose a TR completion method for the missing information reconstruction. The proposed TR completion model has the ability to utilize the low-rank property of time-series RS images from different dimensions. To further explore the smoothness of the RS image spatial information, total-variation regularization is also incorporated into the TR completion model. The proposed model is efficiently solved using two algorithms, the augmented Lagrange multiplier (ALM) and the alternating least square (ALS) methods. The simulated and real-data experiments show superior performance compared to other state-of-the-art low-rank related algorithms.",10.1109/TGRS.2019.2924017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8770268,130,,43,IEEE Journals
BoxDiff: Text-to-Image Synthesis with Training-Free Box-Constrained Diffusion,J. Xie; Y. Li; Y. Huang; H. Liu; W. Zhang; Y. Zheng; M. Z. Shou,"Show Lab, National University of Singapore; Jarvis Lab, Tencent; Jarvis Lab, Tencent; Jarvis Lab, Tencent; Jarvis Lab, Tencent; Jarvis Lab, Tencent; Show Lab, National University of Singapore",2023,"Recent text-to-image diffusion models have demonstrated an astonishing capacity to generate high-quality images. However, researchers mainly studied the way of synthesizing images with only text prompts. While some works have explored using other modalities as conditions, considerable paired data, e.g., box/mask-image pairs, and fine-tuning time are required for nurturing models. As such paired data is time-consuming and labor-intensive to acquire and restricted to a closed set, this potentially becomes the bottleneck for applications in an open world. This paper focuses on the simplest form of user-provided conditions, e.g., box or scribble. To mitigate the aforementioned problem, we propose a training-free method to control objects and contexts in the synthesized images adhering to the given spatial conditions. Specifically, three spatial constraints, i.e., Inner-Box, Outer-Box, and Corner Constraints, are designed and seamlessly integrated into the denoising step of diffusion models, requiring no additional training and massive annotated layout data. Extensive experimental results demonstrate that the proposed constraints can control what and where to present in the images while retaining the ability of Diffusion models to synthesize with high fidelity and diverse concept coverage.",10.1109/ICCV51070.2023.00685,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10377904,129,,40,IEEE Conferences
Pix2Video: Video Editing using Image Diffusion,D. Ceylan; C. -H. P. Huang; N. J. Mitra,Adobe Research; Adobe Research; Adobe Research,2023,"Image diffusion models, trained on massive image collections, have emerged as the most versatile image generator model in terms of quality and diversity. They support inverting real images and conditional (e.g., text) generation, making them attractive for high-quality image editing applications. We investigate how to use such pre-trained image models for text-guided video editing. The critical challenge is to achieve the target edits while still preserving the content of the source video. Our method works in two simple steps: first, we use a pre-trained structure-guided (e.g., depth) image diffusion model to perform text-guided edits on an anchor frame; then, in the key step, we progressively propagate the changes to the future frames via self-attention feature injection to adapt the core denoising step of the diffusion model. We then consolidate the changes by adjusting the latent code for the frame before continuing the process. Our approach is training-free and generalizes to a wide range of edits. We demonstrate the effectiveness of the approach by extensive experimentation and compare it against four different prior and parallel efforts (on ArXiv). We demonstrate that realistic text-guided video edits are possible, without any compute-intensive preprocessing or video-specific finetuning. https://duyguceylan.github.io/pix2video.github.io/.",10.1109/ICCV51070.2023.02121,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10377708,129,,64,IEEE Conferences
SAR2SAR: A Semi-Supervised Despeckling Algorithm for SAR Images,E. Dalsasso; L. Denis; F. Tupin,"LTCI, Télécom Paris, Institut Polytechnique de Paris, Palaiseau, France; UJM-Saint-Etienne, CNRS, Institut d Optique Graduate School, Laboratoire Hubert Curien UMR 5516, Univ Lyon, Saint-Etienne, France; LTCI, Télécom Paris, Institut Polytechnique de Paris, Palaiseau, France",2021,"Speckle reduction is a key step in many remote sensing applications. By strongly affecting synthetic aperture radar (SAR) images, it makes them difficult to analyze. Due to the difficulty to model the spatial correlation of speckle, a deep learning algorithm with semi-supervision is proposed in this article: SAR2SAR. Multitemporal time series are leveraged and the neural network learns to restore SAR images by only looking at noisy acquisitions. To this purpose, the recently proposed noise2noise framework [1] has been employed. The strategy to adapt it to SAR despeckling is presented, based on a compensation of temporal changes and a loss function adapted to the statistics of speckle. A study with synthetic speckle noise is presented to compare the performances of the proposed method with other state-of-the-art filters. Then, results on real images are discussed, to show the potential of the proposed algorithm. The code is made available to allow testing and reproducible research in this field.",10.1109/JSTARS.2021.3071864,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9399231,129,,33,IEEE Journals
Speckle2Void: Deep Self-Supervised SAR Despeckling With Blind-Spot Convolutional Neural Networks,A. B. Molini; D. Valsesia; G. Fracastoro; E. Magli,"Department of Electronics and Telecommunications, Politecnico di Torino, Turin, Italy; Department of Electronics and Telecommunications, Politecnico di Torino, Turin, Italy; Department of Electronics and Telecommunications, Politecnico di Torino, Turin, Italy; Department of Electronics and Telecommunications, Politecnico di Torino, Turin, Italy",2022,"Information extraction from synthetic aperture radar (SAR) images is heavily impaired by speckle noise, and hence, despeckling is a crucial preliminary step in scene analysis algorithms. The recent success of deep learning envisions a new generation of despeckling techniques that could outperform classical model-based methods. However, current deep learning approaches to despeckling require supervision for training, whereas clean SAR images are impossible to obtain. In the literature, this issue is tackled by resorting to either synthetically speckled optical images, which exhibit different properties with respect to true SAR images, or multitemporal SAR images, which are difficult to acquire or fuse accurately. In this article, inspired by recent works on blind-spot denoising networks, we propose a self-supervised Bayesian despeckling method. The proposed method is trained by employing only noisy SAR images and can, therefore, learn features of real SAR images rather than synthetic data. Experiments show that the performance of the proposed approach is very close to the supervised training approach on synthetic data and superior on real data in both quantitative and visual assessments.",10.1109/TGRS.2021.3065461,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9383788,129,,50,IEEE Journals
Automatic Scoring of Multiple Semantic Attributes With Multi-Task Feature Leverage: A Study on Pulmonary Nodules in CT Images,S. Chen; J. Qin; X. Ji; B. Lei; T. Wang; D. Ni; J. -Z. Cheng,"National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, School of Medicine, Shenzhen University, Shenzhen, China; Smart Health, School of Nursing, The Hong Kong Polytechnic University, Hung Hom, Hong Kong; National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, School of Medicine, Shenzhen University, Shenzhen, China; National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, School of Medicine, Shenzhen University, Shenzhen, China; National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, School of Medicine, Shenzhen University, Shenzhen, China; National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, School of Medicine, Shenzhen University, Shenzhen, China; National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, School of Medicine, Shenzhen University, Shenzhen, China",2017,"The gap between the computational and semantic features is the one of major factors that bottlenecks the computer-aided diagnosis (CAD) performance from clinical usage. To bridge this gap, we exploit three multi-task learning (MTL) schemes to leverage heterogeneous computational features derived from deep learning models of stacked denoising autoencoder (SDAE) and convolutional neural network (CNN), as well as hand-crafted Haar-like and HoG features, for the description of 9 semantic features for lung nodules in CT images. We regard that there may exist relations among the semantic features of “spiculation”, “texture”, “margin”, etc., that can be explored with the MTL. The Lung Image Database Consortium (LIDC) data is adopted in this study for the rich annotation resources. The LIDC nodules were quantitatively scored w.r.t. 9 semantic features from 12 radiologists of several institutes in U.S.A. By treating each semantic feature as an individual task, the MTL schemes select and map the heterogeneous computational features toward the radiologists’ ratings with cross validation evaluation schemes on the randomly selected 2400 nodules from the LIDC dataset. The experimental results suggest that the predicted semantic scores from the three MTL schemes are closer to the radiologists’ ratings than the scores from single-task LASSO and elastic net regression methods. The proposed semantic attribute scoring scheme may provide richer quantitative assessments of nodules for better support of diagnostic decision and management. Meanwhile, the capability of the automatic association of medical image contents with the clinical semantic terms by our method may also assist the development of medical search engine.",10.1109/TMI.2016.2629462,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7745891,128,,48,IEEE Journals
An Iterative Mean Filter for Image Denoising,u. erkan; D. N. H. Thanh; L. M. Hieu; S. Engínoğlu,"Department of Computer Engineering, Faculty of Engineering, Karamanoğlu Mehmetbey University, Karaman, Turkey; Department of Information Technology, Hue College of Industry, Hue, Vietnam; Department of Economics, University of Economics - The University of Da Nang, Da Nang, Vietnam; Department of Mathematics, Faculty of Arts and Sciences, Çanakkale Onsekiz Mart University, Çanakkale, Turkey",2019,"We propose an Iterative Mean Filter (IMF) to eliminate the salt-and-pepper noise. IMF uses the mean of gray values of noise-free pixels in a fixed-size window. Unlike other nonlinear filters, IMF does not enlarge the window size. A large size reduces the accuracy of noise removal. Therefore, IMF only uses a window with a size of $3\times3$ . This feature is helpful for IMF to be able to more precisely evaluate a new gray value for the center pixel. To process high-density noise effectively, we propose an iterative procedure for IMF. In the experiments, we operationalize Peak Signal-to-Noise Ratio (PSNR), Visual Information Fidelity, Image Enhancement Factor, Structural Similarity (SSIM), and Multiscale Structure Similarity to assess image quality. Furthermore, we compare denoising results of IMF with ones of the other state-of-the-art methods. A comprehensive comparison of execution time is also provided. The qualitative results by PSNR and SSIM showed that IMF outperforms the other methods such as Based-on Pixel Density Filter (BPDF), Decision-Based Algorithm (DBA), Modified Decision-Based Untrimmed Median Filter (MDBUTMF), Noise Adaptive Fuzzy Switching Median Filter (NAFSMF), Adaptive Weighted Mean Filter (AWMF), Different Applied Median Filter (DAMF), Adaptive Type-2 Fuzzy Filter (FDS): for the IMAGESTEST dataset - BPDF (25.36/0.756), DBA (28.72/0.8426), MDBUTMF (25.93/0.8426), NAFSMF (29.32/0.8735), AWMF (32.25/0.9177), DAMF (31.65/0.9154), FDS (27.98/0.8338), and IMF (33.67/0.9252); and for the BSDS dataset - BPDF (24.95/0.7469), DBA (26.84/0.8061), MDBUTMF (26.25/0.7732), NAFSMF (27.26/0.8191), AWMF (28.89/0.8672), DAMF (29.11/0.8667), FDS (26.85/0.8095), and IMF (30.04/0.8753).",10.1109/ACCESS.2019.2953924,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8903303,127,,43,IEEE Journals
Automatic detection and classification of diabetic retinopathy stages using CNN,R. Ghosh; K. Ghosh; S. Maitra,"Department of Electronics and Communication Technology, Indian Institute of Information Technology, Allahabad, Uttar Pradesh; Machine Intelligence Unit, Indian Statistical Institute, Kolkata, West Bengal; Indian Statistical Institute North-East Centre, Tezpur, Assam",2017,"A Convolutional Neural Networks (CNNs) approach is proposed to automate the method of Diabetic Retinopathy(DR) screening using color fundus retinal photography as input. Our network uses CNN along with denoising to identify features like micro-aneurysms and haemorrhages on the retina. Our models were developed leveraging Theano, an open source numerical computation library for Python. We trained this network using a high-end GPU on the publicly available Kaggle dataset. On the data set of over 30,000 images our proposed model achieves around 95% accuracy for the two class classification and around 85% accuracy for the five class classification on around 3,000 validation images.",10.1109/SPIN.2017.8050011,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8050011,127,,15,IEEE Conferences
DCFace: Synthetic Face Generation with Dual Condition Diffusion Model,M. Kim; F. Liu; A. Jain; X. Liu,"Michigan State University, East Lansing, MI; Michigan State University, East Lansing, MI; Michigan State University, East Lansing, MI; Michigan State University, East Lansing, MI",2023,"Generating synthetic datasets for training face recognition models is challenging because dataset generation entails more than creating high fidelity images. It involves generating multiple images of same subjects under different factors (e.g., variations in pose, illumination, expression, aging and occlusion) which follows the real image conditional distribution. Previous works have studied the generation of synthetic datasets using GAN or 3D models. In this work, we approach the problem from the aspect of combining subject appearance (ID) and external factor (style) conditions. These two conditions provide a direct way to control the inter-class and intra-class variations. To this end, we propose a Dual Condition Face Generator (DCFace) based on a diffusion model. Our novel Patch-wise style extractor and Time-step dependent ID loss enables DCFace to consistently produce face images of the same subject under different styles with precise control. Face recognition models trained on synthetic images from the proposed DCFace provide higher verification accuracies compared to previous works by 6.11% on average in 4 out of 5 test datasets, LFW, CFP-FP, CPLFW, AgeDB and CALFW. Code Link",10.1109/CVPR52729.2023.01223,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10204758,127,,74,IEEE Conferences
DDP: Diffusion Model for Dense Visual Prediction,Y. Ji; Z. Chen; E. Xie; L. Hong; X. Liu; Z. Liu; T. Lu; Z. Li; P. Luo,The University of Hong Kong; Nanjing University; Huawei Noah’s Ark Lab; Huawei Noah’s Ark Lab; The University of Hong Kong; Huawei Noah’s Ark Lab; Nanjing University; Huawei Noah’s Ark Lab; The University of Hong Kong,2023,"We propose a simple, efficient, yet powerful framework for dense visual predictions based on the conditional diffusion pipeline. Our approach follows a ""noise-to-map"" generative paradigm for prediction by progressively removing noise from a random Gaussian distribution, guided by the image. The method, called DDP, efficiently extends the denoising diffusion process into the modern perception pipeline. Without task-specific design and architecture customization, DDP is easy to generalize to most dense prediction tasks, e.g., semantic segmentation and depth estimation. In addition, DDP shows attractive properties such as dynamic inference and uncertainty awareness, in contrast to previous single-step discriminative methods. We show top results on three representative tasks with six diverse benchmarks, without tricks, DDP achieves state-of-the-art or competitive performance on each task compared to the specialist counterparts. For example, semantic segmentation (83.9 mIoU on Cityscapes), BEV map segmentation (70.6 mIoU on nuScenes), and depth estimation (0.05 REL on KITTI). We hope that our approach will serve as a solid baseline and facilitate future research.",10.1109/ICCV51070.2023.01987,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10376747,127,,92,IEEE Conferences
Deep Computation Model for Unsupervised Feature Learning on Big Data,Q. Zhang; L. T. Yang; Z. Chen,"School of Software Technology, Dalian University of Technology, Dalian, China; Department of Mathematics, Statistics and Computer Science, St. Francis Xavier University, Antigonish, NS, Canada; School of Software Technology, Dalian University of Technology, Dalian, China",2016,"Deep learning has been successfully applied to feature learning in speech recognition, image classification and language processing. However, current deep learning models work in the vector space, resulting in the failure to learn features for big data since a vector cannot model the highly non-linear distribution of big data, especially heterogeneous data. This paper proposes a deep computation model for feature learning on big data, which uses a tensor to model the complex correlations of heterogeneous data. To fully learn the underlying data distribution, the proposed model uses the tensor distance as the average sum-of-squares error term of the reconstruction error in the output layer. To train the parameters of the proposed model, the paper designs a high-order back-propagation algorithm (HBP) by extending the conventional back-propagation algorithm from the vector space to the high-order tensor space. To evaluate the performance of the proposed model, we carried out the experiments on four representative datasets by comparison with stacking auto-encoders and multimodal deep learning models. Experimental results clearly demonstrate that the proposed model is efficient to perform feature learning when evaluated using the STL-10, CUAVE, SANE and INEX datasets.",10.1109/TSC.2015.2497705,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7317793,127,,33,IEEE Journals
Learning to See Moving Objects in the Dark,H. Jiang; Y. Zheng,"University of Southern California, California, USA; National Institue of Informatics, Tokyo, Japan",2019,"Video surveillance systems have wide range of utilities, yet easily suffer from great quality degeneration under dim light circumstances. Industrial solutions mainly use extra near-infrared illuminations, even though it doesn't preserve color and texture information. A variety of researches enhanced low-light videos shot by visible light cameras, while they either relied on task specific preconditions or trained with synthetic datasets. We propose a novel optical system to capture bright and dark videos of the exact same scenes, generating training and groud truth pairs for authentic low-light video dataset. A fully convolutional network with 3D and 2D miscellaneous operations is utilized to learn an enhancement mapping with proper spatial-temporal transformation from raw camera sensor data to bright RGB videos. Experiments show promising results by our method, and it outperforms state-of-the-art low-light image/video enhancement algorithms.",10.1109/ICCV.2019.00742,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010274,127,,44,IEEE Conferences
Rethinking Data Augmentation for Image Super-resolution: A Comprehensive Analysis and a New Strategy,J. Yoo; N. Ahn; K. -A. Sohn,EPFL; Ajou University; Ajou University,2020,"Data augmentation is an effective way to improve the performance of deep networks. Unfortunately, current methods are mostly developed for high-level vision tasks (e.g., classification) and few are studied for low-level vision tasks (e.g., image restoration). In this paper, we provide a comprehensive analysis of the existing augmentation methods applied to the super-resolution task. We find that the methods discarding or manipulating the pixels or features too much hamper the image restoration, where the spatial relationship is very important. Based on our analyses, we propose CutBlur that cuts a low-resolution patch and pastes it to the corresponding high-resolution image region and vice versa. The key intuition of CutBlur is to enable a model to learn not only ""how"" but also ""where"" to super-resolve an image. By doing so, the model can understand ""how much"", instead of blindly learning to apply super-resolution to every given pixel. Our method consistently and significantly improves the performance across various scenarios, especially when the model size is big and the data is collected under real-world environments. We also show that our method improves other low-level vision tasks, such as denoising and compression artifact removal.",10.1109/CVPR42600.2020.00840,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9156551,127,,34,IEEE Conferences
Semantic Correlation Promoted Shape-Variant Context for Segmentation,H. Ding; X. Jiang; B. Shuai; A. Q. Liu; G. Wang,"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Amazon, Seattle, United States; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Alibaba Group, Hangzhou, China",2019,"Context is essential for semantic segmentation. Due to the diverse shapes of objects and their complex layout in various scene images, the spatial scales and shapes of contexts for different objects have very large variation. It is thus ineffective or inefficient to aggregate various context information from a predefined fixed region. In this work, we propose to generate a scale- and shape-variant semantic mask for each pixel to confine its contextual region. To this end, we first propose a novel paired convolution to infer the semantic correlation of the pair and based on that to generate a shape mask. Using the inferred spatial scope of the contextual region, we propose a shape-variant convolution, of which the receptive field is controlled by the shape mask that varies with the appearance of input. In this way, the proposed network aggregates the context information of a pixel from its semantic-correlated region instead of a predefined fixed region. Furthermore, this work also proposes a labeling denoising model to reduce wrong predictions caused by the noisy low-level features. Without bells and whistles, the proposed segmentation network achieves new state-of-the-arts consistently on the six public segmentation datasets.",10.1109/CVPR.2019.00909,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8954014,126,,77,IEEE Conferences
Weighted Joint Sparse Representation for Removing Mixed Noise in Image,L. Liu; L. Chen; C. L. P. Chen; Y. Y. Tang; C. M. pun,"Department of Computer and Information Science, University of Macau, Macau, China; Department of Computer and Information Science, University of Macau, Macau, China; Department of Computer and Information Science, University of Macau, Macau, China; Department of Computer and Information Science, University of Macau, Macau, China; Department of Computer and Information Science, University of Macau, Macau, China",2017,"Joint sparse representation (JSR) has shown great potential in various image processing and computer vision tasks. Nevertheless, the conventional JSR is fragile to outliers. In this paper, we propose a weighted JSR (WJSR) model to simultaneously encode a set of data samples that are drawn from the same subspace but corrupted with noise and outliers. Our model is desirable to exploit the common information shared by these data samples while reducing the influence of outliers. To solve the WJSR model, we further introduce a greedy algorithm called weighted simultaneous orthogonal matching pursuit to efficiently approximate the global optimal solution. Then, we apply the WJSR for mixed noise removal by jointly coding the grouped nonlocal similar image patches. The denoising performance is further improved by incorporating it with the global prior and the sparse errors into a unified framework. Experimental results show that our denoising method is superior to several state-of-the-art mixed noise removal methods.",10.1109/TCYB.2016.2521428,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7425214,126,,55,IEEE Journals
"Leveraging Instance-, Image- and Dataset-Level Information for Weakly Supervised Instance Segmentation",Y. Liu; Y. -H. Wu; P. Wen; Y. Shi; Y. Qiu; M. -M. Cheng,"TKLNDST, College of Computer Science, Nankai University, Tianjin, China; TKLNDST, College of Computer Science, Nankai University, Tianjin, China; TKLNDST, College of Computer Science, Nankai University, Tianjin, China; TKLNDST, College of Computer Science, Nankai University, Tianjin, China; College of Artificial Intelligence, Nankai University, Tianjin, China; TKLNDST, College of Computer Science, Nankai University, Tianjin, China",2022,"Weakly supervised semantic instance segmentation with only image-level supervision, instead of relying on expensive pixel-wise masks or bounding box annotations, is an important problem to alleviate the data-hungry nature of deep learning. In this article, we tackle this challenging problem by aggregating the image-level information of all training images into a large knowledge graph and exploiting semantic relationships from this graph. Specifically, our effort starts with some generic segment-based object proposals (SOP) without category priors. We propose a multiple instance learning (MIL) framework, which can be trained in an end-to-end manner using training images with image-level labels. For each proposal, this MIL framework can simultaneously compute probability distributions and category-aware semantic features, with which we can formulate a large undirected graph. The category of background is also included in this graph to remove the massive noisy object proposals. An optimal multi-way cut of this graph can thus assign a reliable category label to each proposal. The denoised SOP with assigned category labels can be viewed as pseudo instance segmentation of training images, which are used to train fully supervised models. The proposed approach achieves state-of-the-art performance for both weakly supervised instance segmentation and semantic segmentation. The code is available at https://github.com/yun-liu/LIID.",10.1109/TPAMI.2020.3023152,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9193980,125,,93,IEEE Journals
Universal Guidance for Diffusion Models,A. Bansal; H. -M. Chu; A. Schwarzschild; S. Sengupta; M. Goldblum; J. Geiping; T. Goldstein,University of Maryland; University of Maryland; University of Maryland; University of North Carolina at Chapel Hill; New York University; University of Maryland; University of Maryland,2023,"Typical diffusion models are trained to accept a particular form of conditioning, most commonly text, and cannot be conditioned on other modalities without retraining. In this work, we propose a universal guidance algorithm that enables diffusion models to be controlled by arbitrary guidance modalities without the need to retrain any use-specific components. We show that our algorithm successfully generates quality images with guidance functions including segmentation, face recognition, object detection, and classifier signals. Code is available at github.com/arpitbansal297/Universal-Guided-Diffusion.",10.1109/CVPRW59228.2023.00091,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10208653,125,,30,IEEE Conferences
EDCNN: Edge enhancement-based Densely Connected Network with Compound Loss for Low-Dose CT Denoising,T. Liang; Y. Jin; Y. Li; T. Wang,"Institute of Information Science, Beijing Jiaotong University, Beijing, China; Institute of Information Science, Beijing Jiaotong University, Beijing, China; Institute of Information Science, Beijing Jiaotong University, Beijing, China; Institute of Information Science, Beijing Jiaotong University, Beijing, China",2020,"In the past few decades, to reduce the risk of X-ray in computed tomography (CT), low-dose CT image denoising has attracted extensive attention from researchers, which has become an important research issue in the field of medical images. In recent years, with the rapid development of deep learning technology, many algorithms have emerged to apply convolutional neural networks to this task, achieving promising results. However, there are still some problems such as low denoising efficiency, over-smoothed result, etc. In this paper, we propose the Edge enhancement based Densely connected Convolutional Neural Network (EDCNN). In our network, we design an edge enhancement module using the proposed novel trainable Sobel convolution. Based on this module, we construct a model with dense connections to fuse the extracted edge information and realize end-to-end image denoising. Besides, when training the model, we introduce a compound loss that combines MSE loss and multi-scales perceptual loss to solve the over-smoothed problem and attain a marked improvement in image quality after denoising. Compared with the existing low-dose CT image denoising algorithms, our proposed model has a better performance in preserving details and suppressing noise.",10.1109/ICSP48669.2020.9320928,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9320928,124,,28,IEEE Conferences
Optimization Methods for Magnetic Resonance Image Reconstruction: Key Models and Optimization Algorithms,J. A. Fessler,"Electrical Engineering and Computer Science, University of Michiga",2020,"The development of compressed-sensing (CS) methods for magnetic resonance (MR) image reconstruction led to an explosion of research on models and optimization algorithms for MR imaging (MRI). Roughly 10 years after such methods first appeared in the MRI literature, the U.S. Food and Drug Administration (FDA) approved certain CS methods for commercial use, making CS a clinical success story for MRI. This article reports on several key models and optimization algorithms for MR image reconstruction. Included are both methods that the FDA has approved for clinical use and more recent methods being considered in the research community that use data-adaptive regularizers. It presents in a single survey the many algorithms devised to exploit the structure of the system model and regularizers used in MRI.",10.1109/MSP.2019.2943645,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8962384,124,,40,IEEE Magazines
